,Source,Target,Weight,shared_publications
0,-Gp8ghkAAAAJ,iiG9_YQAAAAJ,1,['Personal Time-Lapse']
1,-Gp8ghkAAAAJ,llo3F3QAAAAJ,1,['Head-mounted Augmented Reality for Guided Surface Reflectance Capture']
2,Ku5gTYQAAAAJ,IeqjwlIAAAAJ,2,"['Ai suggestions homogenize writing toward western styles and diminish cultural nuances', 'Examining Human-AI Collaboration for Co-Writing Constructive Comments Online']"
3,Ku5gTYQAAAAJ,l3ZT5GkAAAAJ,1,['Investigating technostress among teachers in low-income Indian schools']
4,Ku5gTYQAAAAJ,xU-3sCQAAAAJ,1,['Outlining the Borders for LLM Applications in Patient Education: Developing an Expert-in-the-Loop LLM-Powered Chatbot for Prostate Cancer Patient Education']
5,Ku5gTYQAAAAJ,jNQlAkoAAAAJ,3,"['Accept or address? Researchers’ perspectives on response bias in accessibility research', 'Nothing micro about it: Examining ableist microaggressions on social media', '“Vulnerable, Victimized, and Objectified”: Understanding Ableist Hate and Harassment Experienced by Disabled Content Creators on Social Media']"
6,Ku5gTYQAAAAJ,Iiut4KYAAAAJ,1,['Challenges and issues integrating smartphones into teacher support programs in India']
7,gzHLTVwAAAAJ,uBFV6SUAAAAJ,2,"['Automate or Assist? The Role of Computational Models in Identifying Gendered Discourse in US Capital Trial Transcripts', 'Seasonality Visualizations of Online Text']"
8,gzHLTVwAAAAJ,8qSK3noAAAAJ,1,['Trucks Don’t Mean Trump: Diagnosing Human Error in Image Analysis']
9,gzHLTVwAAAAJ,l3ZT5GkAAAAJ,1,['Towards an Educator-Centered Method for Measuring Bias in Large Language Model-Based Chatbot Tutors']
10,cfUvMIYAAAAJ,VCuHXdMAAAAJ,1,['Large spectral density matrix estimation by thresholding']
11,udwtIesAAAAJ,8qSK3noAAAAJ,1,['Equitable Congestion Pricing under the Markovian Traffic Model: An Application to Bogota']
12,3lliiesAAAAJ,waote-8AAAAJ,3,"['The Paradox of Customization: Negotiating racial identity with"" multiple choice"" in avatar', 'Integrating qualitative methods and open science: Five principles for more trustworthy research', 'The Paradox of Customization: Negotiating racial identity with"" multiple choice"" in avatar creation']"
13,3lliiesAAAAJ,g_ayYI0AAAAJ,1,['Supporting self-injury recovery: the potential for virtual reality intervention']
14,3lliiesAAAAJ,jNQlAkoAAAAJ,8,"['Exploring the Accessibility of Social Virtual Reality for People with ADHD and Autism: Preliminary Insights', '“Invisible Illness Is No Longer Invisible”: Making Social VR Avatars More Inclusive for Invisible Disability Representation', '“I Try to Represent Myself as I Am”: Self-Presentation Preferences of People with Invisible Disabilities through Embodied Social VR Avatars', 'Accessible Nonverbal Cues to Support Conversations in VR for Blind and Low Vision People', 'SocialCueSwitch: Towards Customizable Accessibility by Representing Social Cues in Multiple Senses', 'The Looking-Glass Avatar: Representing Chronic Pain through Social Virtual Reality Avatar Movement', 'An AI Guide to Enhance Accessibility of Social Virtual Reality for Blind People', '“The Guide Has Your Back”: Exploring How Sighted Guides Can Enhance Accessibility in Social Virtual Reality for Blind and Low Vision People']"
15,ovlpa_IAAAAJ,Ormag-QAAAAJ,1,['Supporting workflow in a course management system']
16,ovlpa_IAAAAJ,LV1qWjgAAAAJ,2,"['Language-based security for malicious mobile code', 'Supporting workflow in a course management system']"
17,ovlpa_IAAAAJ,sxjynOsAAAAJ,3,"['Quantifying information flow with beliefs', 'Language-based security for malicious mobile code', 'Belief in information flow']"
18,ovlpa_IAAAAJ,Dswus94AAAAJ,1,['Language-based security for malicious mobile code']
19,ovlpa_IAAAAJ,e1iAhHQAAAAJ,3,"['Path planning under malicious injections and removals of perceived obstacles: A probabilistic programming approach', 'Videos of demo of self-driving robot with map verification', 'Secure autonomous cyber-physical systems through verifiable information flow control']"
