Source,Target,Type,Id,Label,Weight,shared_publications
70vJVxcAAAAJ,v7EjGHkAAAAJ,Undirected,78709,,1,['Distributed learning with sublinear communication']
TIGS4c8AAAAJ,I-rKkyEAAAAJ,Undirected,78710,,1,['Models and Methodologies']
TIGS4c8AAAAJ,Ormag-QAAAAJ,Undirected,78711,,1,['Correction to']
TIGS4c8AAAAJ,FsBCAfgAAAAJ,Undirected,78712,,2,"['37th International Symposium on Distributed Computing (DISC 2023)', 'Distributed computing meets game theory: combining insights from two fields']"
TIGS4c8AAAAJ,0zrqo3B-66wC,Undirected,78713,,1,['Models and Methodologies']
XuQW7ogAAAAJ,oBldxf0AAAAJ,Undirected,78714,,1,"[""Who's Waldo? Linking People Across Text and Images""]"
XuQW7ogAAAAJ,ex9BQiIAAAAJ,Undirected,78715,,1,['When in Doubt: Improving Classification Performance with Alternating Normalization']
XuQW7ogAAAAJ,5lB_d78AAAAJ,Undirected,78716,,2,"['Time Your Rewards: Learning Temporally Consistent Rewards from a Single Video Demonstration', 'Imitation Learning from a Single Temporally Misaligned Video']"
XuQW7ogAAAAJ,8RVWMycAAAAJ,Undirected,78717,,2,"['Wav2seq: Pre-training speech-to-text encoder-decoder models using pseudo languages', 'Performance-efficiency trade-offs in unsupervised pre-training for speech recognition']"
oBldxf0AAAAJ,TpglobcAAAAJ,Undirected,78718,,4,"['Doppelgangers: Learning to disambiguate images of similar structures', 'Doppelgangers: Learning to Disambiguate Images of Similar Structures Supplemental Material', 'Extreme rotation estimation using dense correlation volumes', 'Learning gradient fields for shape generation']"
jNQlAkoAAAAJ,kjYhZYwAAAAJ,Undirected,78719,,1,['Voice assistant strategies and opportunities for people with tetraplegia']
jNQlAkoAAAAJ,IeqjwlIAAAAJ,Undirected,78720,,1,['Measuring and understanding online reading behaviors of people with dyslexia']
jNQlAkoAAAAJ,ESJILIEAAAAJ,Undirected,78721,,2,"['Exploring Human-Drone Collaboration Through Contact Improvisation', 'A drone teacher: Designing physical human-drone interactions for movement instruction']"
Rh16nsIAAAAJ,I-rKkyEAAAAJ,Undirected,78722,,1,['Computer science chairs']
Rh16nsIAAAAJ,e1iAhHQAAAAJ,Undirected,78723,,1,['DeepSemanticHPPC: Hypothesis-based planning over uncertain semantic point clouds']
Rh16nsIAAAAJ,ex9BQiIAAAAJ,Undirected,78724,,1,['Computer science chairs']
Rh16nsIAAAAJ,TpglobcAAAAJ,Undirected,78725,,14,"['Field-guide-inspired zero-shot learning', 'PiCIE: Unsupervised Semantic Segmentation using Invariance and Equivariance in Clustering–Supplementary Materials', 'Machine learning (ML) for tracking fashion trends: Documenting the frequency of the baseball cap on social media and the runway', 'Zero-shot learning using multimodal descriptions', 'Change-aware sampling and contrastive learning for satellite images', 'Change event dataset for discovery from spatio-temporal remote sensing imagery', 'DiSciPLE: Learning Interpretable Programs for Scientific Visual Discovery', 'AllClear: A Comprehensive Dataset and Benchmark for Cloud Removal in Satellite Imagery', 'Scale-Aware Recognition in Satellite Images under Resource Constraints', 'Activation Regression for Continuous Domain Generalization with Applications to Crop Classification', 'Geostyle: Discovering fashion trends and events', 'Remote sensing vision-language foundation models without annotations via ground remote alignment', 'Picie: Unsupervised semantic segmentation using invariance and equivariance in clustering', 'DiSciPLE: Learning Interpretable Programs for Scientific Discovery']"
Rh16nsIAAAAJ,VrgmnEcAAAAJ,Undirected,78726,,1,['Interactive consensus agreement games for labeling images']
Rh16nsIAAAAJ,4Z6vo5QAAAAJ,Undirected,78727,,1,['Deep manifold traversal: Changing labels with convolutional features']
