Id,Label,name,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Weighted Degree,clustering,triangles,X,Y
70vJVxcAAAAJ,,Jayadev Acharya,1,5,0.311005,0.337436,0,5,1,0,0,-7.098877,2309.728516
TIGS4c8AAAAJ,,Lorenzo Alvisi,4,5,0.357143,0.406154,7.385348,6,5,0.5,3,-73.027267,3565.510986
XuQW7ogAAAAJ,,Yoav Artzi,4,5,0.331633,0.384615,34.533292,3,6,0.166667,1,524.066711,2390.349609
oBldxf0AAAAJ,,Hadar Averbuch-Elor,2,5,0.308057,0.342564,3.164322,2,5,0,0,584.944824,2574.199951
jNQlAkoAAAAJ,,Shiri Azenkot,3,6,0.277778,0.321795,13.91744,2,4,0,0,1127.493164,2796.381348
Rh16nsIAAAAJ,,Kavita Bala,8,4,0.408805,0.474359,51.906914,2,31,0.321429,9,509.124756,2907.803711
_kqpoHIAAAAJ,,Siddhartha Banerjee,5,5,0.371429,0.427949,68.481716,7,8,0.3,3,-449.363892,3042.278809
UGDVOZgAAAAJ,,Christopher Batten,1,5,0.285088,0.312308,0,7,1,0,0,-298.577484,3220.104492
X1zsXTgAAAAJ,,Tapomayukh Bhattacharjee,2,6,0.253906,0.296667,4.328211,4,2,0,0,1296.820679,2968.08374
04TuVhEAAAAJ,,David Bindel,6,5,0.398773,0.458205,53.549373,0,22,0.2,3,-211.911911,3048.208252
I-rKkyEAAAAJ,,Kenneth P. Birman,9,4,0.414013,0.487179,87.192037,7,28,0.277778,10,224.963287,3151.324219
vQrFgocAAAAJ,,Florentina Bunea,1,1,1,1,0,1,1,0,0,4643.456055,-8374.914062
e1iAhHQAAAAJ,,Mark Campbell,5,4,0.367232,0.420513,44.081789,2,88,0.4,4,440.245728,2831.614502
ex9BQiIAAAAJ,,Claire Cardie,9,4,0.408805,0.482051,144.708932,2,13,0.194444,7,315.271942,2577.421143
5lB_d78AAAAJ,,Sanjiban Choudhury,3,5,0.299539,0.339744,8.475469,3,4,0.333333,1,476.041229,2336.159424
"#NAME?",,Tanzeem Choudhury,6,5,0.363128,0.419744,147.442984,4,18,0.2,3,986.814758,3248.279785
VqOc5C8AAAAJ,,Anil Damle,1,5,0.311005,0.337436,0,5,1,0,0,-115.361084,2245.843506
njczUPMAAAAJ,,Cristian Danescu-Niculescu-Mizil,2,5,0.333333,0.368974,0,7,11,1,1,-144.58548,2724.468506
v7EjGHkAAAAJ,,Christopher De Sa,11,4,0.448276,0.521795,259.829154,5,19,0.127273,7,51.612862,2644.106445
Ddfev5kAAAAJ,,Shimon Edelman,1,5,0.308057,0.337692,0,6,4,0,0,43.798702,3680.968018
MIg7a1F-1yMC,,Matthew Eichhorn,1,6,0.271967,0.296923,0,7,3,0,0,-590.075989,3122.932373
3_WYcR4AAAAJ,,Deborah Estrin,11,4,0.457746,0.529487,402.456873,6,26,0.127273,7,541.049866,3277.222656
AH5j40kAAAAJ,,Nate Foster,8,5,0.401235,0.468462,106.673269,0,27,0.25,7,23.043173,3279.021973
0_9V8PgAAAAJ,,Sainyam Galhotra,1,5,0.308057,0.337692,0,6,1,0,0,188.003769,3720.025879
8qSK3noAAAAJ,,Nikhil Garg,3,5,0.331633,0.375897,81.718112,7,4,0,0,-736.741211,2556.433105
w72MSFoAAAAJ,,Tanya Goyal,1,5,0.29148,0.319487,0,2,1,0,0,286.628265,2092.468262
Ormag-QAAAAJ,,David Gries,6,5,0.369318,0.432564,15.850003,0,8,0.4,6,-120.410591,3431.823242
PxZT1sgAAAAJ,,Francois Guimbretiere,4,5,0.338542,0.388205,45.662694,4,12,0.333333,2,946.687805,3103.484863
FsBCAfgAAAAJ,,Joseph Halpern,12,4,0.442177,0.525641,242.825899,6,21,0.19697,13,55.929329,3526.360352
TpglobcAAAAJ,,Bharath Hariharan,10,4,0.427632,0.498718,188.807563,2,80,0.288889,13,504.473572,2672.663818
VrgmnEcAAAAJ,,Haym Hirsh,5,4,0.40625,0.455128,12.538214,6,5,0.6,6,312.977264,3415.129395
ZocLOAMAAAAJ,,Guy Hoffman,5,5,0.305164,0.361538,48.939167,2,16,0.2,2,838.43634,2834.592041
4Z6vo5QAAAAJ,,John Hopcroft,11,5,0.419355,0.504359,122.493029,0,41,0.218182,12,-93.365341,3158.016602
HsfKE0sAAAAJ,,Justin Hsu,3,5,0.326633,0.368974,3.388147,0,5,0.333333,1,-144.844391,3291.483643
5tk1PV8AAAAJ,,Thorsten Joachims,8,4,0.430464,0.492308,128.5698,0,10,0.107143,3,-248.475052,2901.599121
kjYhZYwAAAAJ,,Wendy Ju,5,5,0.353261,0.405641,71.521337,2,8,0.1,1,1036.282593,2970.954834
uf0D-uoAAAAJ,,Ari Juels,5,5,0.357143,0.409487,85.989832,6,21,0.1,1,763.595215,3350.873291
