,name,id
0,Abe Davis,-Gp8ghkAAAAJ
1,Aditya Vashistha,Ku5gTYQAAAAJ
2,Alex Conway,RAYmM1wAAAAJ
3,Allison Koenecke,gzHLTVwAAAAJ
4,Amy Kuceyeski,cfUvMIYAAAAJ
5,Andrea Lodi,udwtIesAAAAJ
6,Andrea Stevenson Won,3lliiesAAAAJ
7,Andrew C. Myers,ovlpa_IAAAAJ
8,Angelique Taylor,iiG9_YQAAAAJ
9,Anil Damle,VqOc5C8AAAAJ
10,Anil Nerode,BaArKOYAAAAJ
11,Ari Juels,uf0D-uoAAAAJ
12,Bart Selman,pJ28HA0AAAAJ
13,Benjamin Soltoff,c6CGXeYAAAAJ
14,Bharath Hariharan,TpglobcAAAAJ
15,Christopher Batten,UGDVOZgAAAAJ
16,Christopher De Sa,v7EjGHkAAAAJ
17,Claire Cardie,ex9BQiIAAAAJ
18,"Connie Yuan, Professor",y5bS43UAAAAJ
19,Cristian Danescu-Niculescu-Mizil,njczUPMAAAAJ
20,Cristobal Cheyre,3GyrQrMAAAAJ
21,Dan Kowal,E5BaF-AAAAAJ
22,Daniel Fink,TX-OphwAAAAJ
23,Daniel Susser,nJ2kB-8AAAAJ
24,David Bindel,04TuVhEAAAAJ
25,David Easley,ZKeyKNgAAAAJ
26,David Gries,Ormag-QAAAAJ
27,David Mimno,uBFV6SUAAAAJ
28,David P. Williamson,pOd2M64AAAAJ
29,David Ruppert,7fvHhzsAAAAJ
30,David S. Matteson,1z2uFcQAAAAJ
31,Deborah Estrin,3_WYcR4AAAAJ
32,Dexter Kozen,LV1qWjgAAAAJ
33,Drew Margolin,iQPFZ_sAAAAJ
34,Emaad Manzoor,TcMyxM0AAAAJ
35,Eshan Chattopadhyay,5ReVSa8AAAAJ
36,Eva Tardos,h6jljQQAAAAJ
37,Felix Thoemmes,Ie3Zq7wAAAAJ
38,Fengqi You,3ixInr8AAAAJ
39,Florentina Bunea,vQrFgocAAAAJ
40,Francois Guimbretiere,PxZT1sgAAAAJ
41,Fred Schneider,sxjynOsAAAAJ
42,Gennady Samorodnitsky,dsN90bwAAAAJ
43,Geri Gay,uJ4q1wcAAAAJ
44,Gilly Leshed,yI3u1fcAAAAJ
45,Giulia Guidi,UZLC4TYAAAAJ
46,Greg Morrisett,Dswus94AAAAJ
